date,vwretd,vwretx,P,DY,DP,PD,D,D12,PD12,r,p,d,d12,pd,pd12
1976-08-31,-0.001397962,-0.007387085000000001,6.766381142343916,0.005989123000000001,0.006033694413496524,165.73593746530167,0.04082627609814872,0.25091942790986954,660.5145677473573,-0.0013989400605105844,1.9119664007766461,-3.198429382851753,-1.3826233957264251,5.110395783628399,3.2945897965030713
1976-09-30,0.02451259,0.02238547,6.917849764414421,0.0021271199999999997,0.0020805459999348385,480.64306198051827,0.01439290465550259,0.2511015305358853,1914.1383206815176,0.024216977542734358,1.9341049936579509,-4.2410199260893755,-1.381897917513059,6.175124919747327,3.31600291117101
1976-10-31,-0.0203717,-0.02224861,6.763937222967373,0.001876909999999999,0.0019196188511682903,520.9367471002874,0.012984181401327064,0.2498562099019479,2084.946166856212,-0.020582064978824578,1.911605149941723,-4.344023477723953,-1.3868696869802877,6.255628627665676,3.2984748369220105
1976-11-30,0.005363398,-0.001438386,6.754208070360978,0.006801784,0.006811581683731736,146.80878046112608,0.04600683998018391,0.26442628847807365,555.1973720392764,0.005349066202863062,1.9101657284715243,-3.0789651983256916,-1.3301927490255248,4.989130926797216,3.240358477497049
1976-12-31,0.06159101,0.05930021,7.154734027317078,0.0022908000000000026,0.00216255975253701,462.4149685699314,0.015472539847582943,0.26395855323691514,1751.8468823963144,0.05976873565034303,1.9677742393359414,-4.168688448973047,-1.3319631834755907,6.136462688308988,3.299737422811532
1977-01-31,-0.03632604,-0.0379949,6.882890623422568,0.0016688600000000012,0.0017347725079627967,576.4444590918348,0.011940249428828386,0.26627333620923144,2164.859866550356,-0.037002257347078404,1.9290387124607595,-4.427840281049246,-1.3232319180651377,6.356878993510005,3.2522706305258975
1977-02-28,-0.01574441,-0.02176962,6.733052710049096,0.00602521,0.006159295523003487,162.35622990733933,0.04147086141315189,0.2732462450780341,594.175520549142,-0.015869669723059313,1.9070286381451687,-3.182764232980288,-1.2973818937288402,5.089792871125457,3.204410531874009
1977-03-31,-0.009248591,-0.01179669,6.653624974474987,0.002548099,0.0025785169652993776,387.8198256818122,0.01715648487742339,0.2742335549387592,1414.195377252133,-0.009291624757670763,1.8951618150934595,-4.065379049878709,-1.2937751453849171,5.9605408649721685,3.188936960478377
1977-04-30,0.004962074,0.003563682,6.677336378031273,0.0013983920000000005,0.0013934262718765867,717.6554800084666,0.009304375935306027,0.2749637239735287,2610.0005834862664,0.004949803485535949,1.8987191622246051,-4.677270458809706,-1.2911161028403595,6.575989621034311,3.1898352650649646
1977-05-31,-0.010777,-0.01800518,6.557109734624272,0.007228179999999999,0.007360710925135021,135.85644242395736,0.048264989260958076,0.283204312010429,479.71177225209215,-0.010835492493169159,1.880549916633938,-3.031048841183229,-1.261586691252961,4.911598757817167,3.142136607886899
1977-06-30,0.05136869,0.04871236,6.8765220245767935,0.0026563299999999984,0.0025329443051476945,394.797468688002,0.017417847301374485,0.28511470652453036,1384.6969646023324,0.05009282961796738,1.9281130044434933,-4.050259891464078,-1.254863700653007,5.9783728959075715,3.1829767050965003
1977-07-31,-0.01280639,-0.01416153,6.779139951630088,0.0013551399999999995,0.001374606531635958,727.4809023421938,0.009318650056384992,0.28455620025617245,2556.5456021948467,-0.012889098704474786,1.9138502431140396,-4.67573750451102,-1.2568245044808073,6.58958774762506,3.170674747594847
1977-08-31,-0.0133381,-0.02027791,6.641673161813529,0.006939809999999999,0.00708344751112022,141.17419497075568,0.047045943227722,0.29077586738574573,485.5086367379752,-0.013427851424891498,1.8933639139469927,-3.0566306392457694,-1.235202523748,4.949994553192762,3.1285664376949924
1977-09-30,0.001571887,-0.001008367,6.634975917772371,0.0025802539999999997,0.0025828584692460578,387.1679427684252,0.017137203742462002,0.2935201664727052,1319.0505695779116,0.0015706528787265807,1.8923550382029601,-4.06650352133506,-1.2258089317756051,5.958858559538021,3.118163969978565
1977-10-31,-0.03927758,-0.04131206,6.360871394558804,0.0020344799999999982,0.002122150404854366,471.2201348747596,0.01349872580518952,0.29403471087656763,1602.600364664335,-0.040069756688756515,1.8501653796898643,-4.305159982793056,-1.2240574544064728,6.15532536248292,3.074222834096337
1977-11-30,0.0454397,0.03708068,6.596736831261593,0.008359020000000002,0.008060144366010175,124.06725668798494,0.05317065120454494,0.3011985221009287,411.9119038917834,0.044437562470012855,1.8865751072609347,-2.9342487039474183,-1.1999856897718606,4.820823811208353,3.0865607970327953
1977-12-31,0.008222710000000001,0.005497333,6.633001290336403,0.002725377000000001,0.0027104766074998636,368.93880479654734,0.017978594834973233,0.30370457708831894,1214.7950101168806,0.008189087705303574,1.8920573850762514,-4.01857340455143,-1.1916998359596456,5.910630789627681,3.083757221035897
1978-01-31,-0.05519891,-0.05720905,6.253533587867484,0.0020101400000000005,0.00213211635092594,469.0175559911249,0.01333326121375682,0.3050975888732474,1537.2706081462281,-0.056780860416330764,1.833146678043409,-4.317493522519177,-1.187123590033292,6.150640200562586,3.020270268076701
1978-02-28,-0.009274694,-0.01670032,6.149097575819349,0.007425626000000001,0.007551742516584569,132.41976905381443,0.04643640160194208,0.31006312906203753,427.07357515997927,-0.009317971774321488,1.816305335412569,-3.0696716100395234,-1.1709793600995853,4.885976945452093,2.9872846955121544
1978-03-31,0.03400927,0.03086472,6.338887750749692,0.003144550000000003,0.0030504002503839714,327.82583199503875,0.01933614478204275,0.3122427889666569,1049.906814757685,0.03344374122980288,1.846703319423159,-3.945779147915424,-1.1639742240248387,5.792482467338583,3.010677543447998
1978-04-30,0.08285323,0.08120261000000001,6.853621980607597,0.0016506199999999915,0.0015266518825736014,655.0281772909608,0.010463094899142404,0.31340150793049326,2090.060707162373,0.07959943713597406,1.9247772688248628,-4.559900984649934,-1.1602701375513922,6.484678253474796,3.0850474063762547
1978-05-31,0.02322997,0.01549907,6.959846747438573,0.007730899999999999,0.007612907021175312,131.3558667166824,0.05298466616987927,0.3181211848394145,412.911409163115,0.02296426131483663,1.9401574550577234,-2.9377527248398594,-1.1453228843955034,4.877910179897583,3.085480339453227
1978-06-30,-0.01074848,-0.0137403,6.864216365174743,0.002991820000000001,0.003033501216768769,329.6520846842389,0.020822608695921677,0.3215259462339617,1025.273663122553,-0.01080666220021996,1.9263218834217788,-3.871715926049701,-1.134677034878212,5.79803780947148,3.060998918299991
1978-07-31,0.05674101,0.05486828,7.240844110679733,0.001872730000000003,0.0017753211803847235,563.278358332487,0.012854823913553717,0.32506212009113045,1732.8329679710855,0.05518965321305648,1.9797377894744452,-4.354036136253573,-1.1237389761751417,6.333773925728018,3.103476765649587
1978-08-31,0.04237023,0.03550362,7.497920288464544,0.006866610000000002,0.006631179135810266,150.80274254690448,0.04972005257883458,0.327736229442243,460.13448926152506,0.04149718732628202,2.014625687217539,-3.0013469548415017,-1.1155461726527536,5.01597264205904,3.1301718598702926
1978-09-30,-0.006888612000000001,-0.009455546,7.427023358272635,0.002566933999999999,0.0025914374560720107,385.886218344531,0.01924666651774944,0.3298456922175304,1169.899220906127,-0.006912448015421418,2.005125153730367,-3.9504174011527575,-1.1091303332210918,5.955542554883125,3.1142554869514587
1978-10-31,-0.1109954,-0.1135999,6.583314247475199,0.0026045000000000096,0.0029382893797056313,340.3340756383171,0.01934368233662115,0.33569064874896204,1013.8324582667404,-0.11765286912841351,1.8845383035571275,-3.945389407048657,-1.0915652313598192,5.8299277106057845,2.9761035349169465
